"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"191075","occ","","","19181","Perognathus furlongi","species","50203","Clarendonian","","13.6","10.3","2012"
"191076","occ","","","19181","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","2012"
"191088","occ","7689","","19184","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191119","occ","","","19188","Heteromyinae","subfamily","163515","Early Hemingfordian","","20.43","15.97","1587"
"191137","occ","7709","","19193","Mookomys formicarum","species","48810","Barstovian","","15.97","13.6","6294"
"191138","occ","","","19193","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"191139","occ","","","19193","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191140","occ","7710","","19193","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191141","occ","7711","","19193","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191149","occ","","","19194","Trogomys rupinimenthae","species","52523","Hemingfordian","","20.43","15.97","3625"
"191150","occ","","","19194","Cupidinimus boronensis","species","45387","Hemingfordian","","20.43","15.97","3625"
"191310","occ","","","19271","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"191311","occ","","","19271","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191312","occ","7766","","19271","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191313","occ","7767","","19271","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191349","occ","7782","","19279","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191350","occ","7783","","19279","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191361","occ","7787","","19280","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191362","occ","7788","","19280","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191372","occ","","","19281","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"191373","occ","","","19281","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191374","occ","7792","","19281","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191375","occ","7793","","19281","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191379","occ","7795","","19282","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191380","occ","7796","","19283","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191381","occ","7797","","19284","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191453","occ","7828","","19304","Mookomys formicarum","species","48810","Barstovian","","15.97","13.6","6294"
"191454","occ","","","19304","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191455","occ","7829","","19304","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191456","occ","7830","","19304","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191465","occ","7835","","19305","Mookomys formicarum","species","48810","Barstovian","","15.97","13.6","2247"
"191467","occ","","","19305","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","2247"
"191468","occ","","","19305","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","2246"
"191477","occ","","","19309","Perognathus furlongi","species","50203","Miocene","","23.03","5.333","2880"
"191478","occ","","","19309","Cupidinimus lindsayi","species","45392","Miocene","","23.03","5.333","2880"
"191491","occ","","","19313","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2881"
"191492","occ","","","19313","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2881"
"191494","occ","","","19313","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","2881"
"191529","occ","","","19321","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","2247"
"191530","occ","7855","","19321","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191531","occ","","","19321","Perognathoides eurekensis","species","50180","Barstovian","","15.97","13.6","2247"
"191535","occ","","","19322","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","3627"
"191551","occ","","","19322","Cupidinimus","genus","41676","Clarendonian","","13.6","10.3","3627"
"191554","occ","","","19323","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","3627"
"191566","occ","","","19323","Cupidinimus","genus","41676","Clarendonian","","13.6","10.3","3627"
"191571","occ","","","19324","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","3627"
"191575","occ","","","19324","Cupidinimus","genus","41676","Clarendonian","","13.6","10.3","3627"
"191613","occ","7885","","19343","Mookomys formicarum","species","48810","Barstovian","","15.97","13.6","6294"
"191614","occ","","","19343","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191615","occ","7886","","19343","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191616","occ","7887","","19343","Perognathoides eurekensis","species","50180","Barstovian","","15.97","13.6","6294"
"191662","occ","","","19358","Trogomys","genus","41693","Hemingfordian","","20.43","15.97","2885"
"191680","occ","","","19361","Perognathus furlongi","species","50203","Clarendonian","","13.6","10.3","2012"
"191689","occ","7911","","19363","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191720","occ","","","19369","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2880"
"191721","occ","","","19369","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2880"
"191722","occ","","","19369","Proheteromys sulculus","species","50785","Barstovian","","15.97","13.6","2880"
"191723","occ","","","19369","Trogomys","genus","41693","Barstovian","","15.97","13.6","2880"
"191768","occ","","","19383","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","3627"
"191769","occ","","","19383","Cupidinimus tertius","species","45856","Clarendonian","","13.6","10.3","3627"
"191781","occ","","","19384","Cupidinimus tertius","species","45856","Clarendonian","","13.6","10.3","3627"
"191785","occ","","","19384","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","3627"
"191786","occ","","","19384","Cupidinimus avawatzensis","species","45385","Clarendonian","","13.6","10.3","3627"
"191829","occ","","","19392","Proheteromys maximus","species","50781","Barstovian","","15.97","13.6","2012"
"191830","occ","","","19392","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2012"
"191897","occ","","","19416","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"191898","occ","","","19416","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191899","occ","7982","","19416","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191900","occ","7983","","19416","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"191932","occ","","","19423","Perognathoides eurekensis","species","50180","Barstovian","","15.97","13.6","2247"
"191953","occ","8003","","19430","Mookomys subtilis","species","48812","Barstovian","","15.97","13.6","6294"
"191954","occ","","","19430","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"191955","occ","","","19430","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"191956","occ","8004","","19430","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"191957","occ","8005","","19430","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192289","occ","","","19514","Perognathus mclaughlini","species","50214","Late Hemphillian","","10.3","4.9","2005"
"192290","occ","","","19514","Perognathus henryredfieldi","species","50206","Late Hemphillian","","10.3","4.9","2005"
"192291","occ","","","19514","Prodipodomys kansensis","species","45826","Late Hemphillian","","10.3","4.9","2005"
"192339","occ","","","19517","Cupidinimus tertius","species","45856","Clarendonian","","13.6","10.3","3627"
"192340","occ","","","19517","Perognathus furlongi","species","50203","Clarendonian","","13.6","10.3","3626"
"192341","occ","8166","","19517","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","6294"
"192377","occ","","","19522","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"192378","occ","","","19522","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"192379","occ","8183","","19522","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"192380","occ","8184","","19522","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192394","occ","","","19523","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"192395","occ","8188","","19523","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"192396","occ","8189","","19523","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192401","occ","","","19524","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"192405","occ","8193","","19526","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"192407","occ","8195","","19527","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192447","occ","","","19535","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2135"
"192496","occ","","","19536","Proheteromys sulculus","species","50785","Miocene","","23.03","5.333","2880"
"192505","occ","","","19538","Heteromyinae","subfamily","163515","early Early Hemphillian","","10.3","4.9","3224"
"192523","occ","","","19541","Perognathus furlongi","species","50203","Clarendonian","","13.6","10.3","2012"
"192544","occ","","","19547","Perognathoides kleinfelderi","species","50182","Early Barstovian","","15.97","13.6","2135"
"192585","occ","","","19549","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","2247"
"192597","occ","","","19550","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"192598","occ","","","19550","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"192599","occ","8254","","19550","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"192600","occ","8255","","19550","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192638","occ","","","19557","Perognathus minutus","species","50216","Barstovian","","15.97","13.6","2243"
"192639","occ","","","19557","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","2243"
"192640","occ","8269","","19557","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","6294"
"192641","occ","8270","","19557","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192656","occ","8274","","19558","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"192657","occ","8275","","19558","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192661","occ","8276","","19560","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","1018"
"192662","occ","8277","","19560","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192664","occ","8278","","19561","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","6294"
"192668","occ","","","19564","Perognathus minutus","species","50216","Miocene","","23.03","5.333","2880"
"192669","occ","","","19564","Perognathus furlongi","species","50203","Miocene","","23.03","5.333","2880"
"192670","occ","","","19564","Cupidinimus halli","species","50181","Miocene","","23.03","5.333","2880"
"192685","occ","","","19569","Cupidinimus","genus","41676","Hemphillian","","10.3","4.9","2883"
"192686","occ","","","19569","Diprionomys","genus","41679","Hemphillian","","10.3","4.9","2883"
"192706","occ","","","19577","Proheteromys maximus","species","50781","Miocene","","23.03","5.333","2880"
"192712","occ","","","19578","Cupidinimus","genus","41676","Miocene","","23.03","5.333","2880"
"192714","occ","","","19579","Cupidinimus halli","species","50181","Miocene","","23.03","5.333","2880"
"192715","occ","","","19579","Perognathus furlongi","species","50203","Miocene","","23.03","5.333","2880"
"192739","occ","8295","","19585","Mookomys formicarum","species","48810","Barstovian","","15.97","13.6","2247"
"192740","occ","","","19585","Cupidinimus lindsayi","species","45392","Barstovian","","15.97","13.6","2247"
"192741","occ","","","19585","Cupidinimus halli","species","50181","Barstovian","","15.97","13.6","2246"
"192746","occ","","","19586","Proheteromys sulculus","species","50785","Miocene","","23.03","5.333","3759"
"192795","occ","","","19599","Proheteromys sulculus","species","50785","Hemingfordian","","20.43","15.97","2244"
"192796","occ","8326","","19599","Harrymys magnus","species","50779","Hemingfordian","","20.43","15.97","2244"
"192829","occ","30064","","19604","Perognathus","genus","41688","Late Hemphillian","","10.3","4.9","51761"
"192846","occ","8348","","19605","Mookomys formicarum","species","48810","Barstovian","","15.97","13.6","2247"
"192863","occ","8357","","19610","Cupidinimus bidahochiensis","species","50178","Late Hemphillian","","10.3","4.9","6294"
"192935","occ","","","19618","Perognathus","genus","41688","Blancan","","4.9","1.8","1292"
"192955","occ","8384","","19620","Perognathus strigipredus","species","50227","Blancan","","4.9","1.8","1293"
"192956","occ","8385","","19620","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","1293"
"192966","occ","8391","","19621","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","1293"
"192973","occ","","","19622","Prodipodomys","genus","41689","Blancan","","4.9","1.8","1291"
"192984","occ","","","19624","Dipodomys minor","species","45829","Blancan","","4.9","1.8","2040"
"193001","occ","","","19625","Prodipodomys","genus","41689","Blancan","","4.9","1.8","2252"
"193029","occ","","","19628","Dipodomys minor","species","45829","Blancan","","4.9","1.8","1603"
"193067","occ","","","19631","Prodipodomys","genus","41689","Blancan","","4.9","1.8","2252"
"193090","occ","","","19636","Prodipodomys","genus","41689","Blancan","","4.9","1.8","2252"
"193107","occ","","","19638","Dipodomys minor","species","45829","Blancan","","4.9","1.8","2040"
"193123","occ","","","19642","Dipodomys minor","species","45829","Blancan","","4.9","1.8","2040"
"193143","occ","","","19646","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","2040"
"193173","occ","","","19650","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1797"
"193174","occ","","","19650","Perognathus gidleyi","species","50204","Blancan","","4.9","1.8","1797"
"193175","occ","","","19650","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","1797"
"193176","occ","","","19650","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","939"
"193209","occ","","","19652","Dipodomys hibbardi","species","45824","Blancan","Irvingtonian","4.9","0.3","6199"
"193233","occ","","","19654","Perognathus gidleyi","species","50204","Blancan","","4.9","1.8","6199"
"193308","occ","","","19658","Perognathus gidleyi","species","50204","Blancan","","4.9","1.8","6199"
"193309","occ","","","19658","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","1584"
"193310","occ","8472","","19658","Dipodomys gidleyi","species","45823","Blancan","","4.9","1.8","6199"
"193337","occ","","","19659","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","6199"
"193434","occ","","","19703","Heteromyidae","family","41673","Piacenzian","","3.6","2.588","1360"
"193456","occ","","","19705","Perognathus","genus","41688","Blancan","","4.9","1.8","3523"
"193496","occ","","","19714","Dipodomys","genus","41678","Blancan","","4.9","1.8","1682"
"193515","occ","","","19715","Cupidinimus bidahochiensis","species","50178","Blancan","","4.9","1.8","2725"
"193544","occ","","","19719","Cupidinimus bidahochiensis","species","50178","Blancan","","4.9","1.8","2725"
"193564","occ","","","19722","Dipodomys","genus","41678","Blancan","","4.9","1.8","2725"
"193572","occ","","","19725","Dipodomys","genus","41678","Blancan","","4.9","1.8","2725"
"193582","occ","","","19728","Prodipodomys timoteoensis","species","50766","Blancan","","4.9","1.8","939"
"193584","occ","","","19729","Prodipodomys timoteoensis","species","50766","Blancan","","4.9","1.8","939"
"193586","occ","","","19730","Prodipodomys timoteoensis","species","50766","Blancan","","4.9","1.8","939"
"193587","occ","","","19730","Prodipodomys riversidensis","species","50764","Blancan","","4.9","1.8","939"
"193591","occ","","","19732","Prodipodomys timoteoensis","species","50766","Blancan","","4.9","1.8","939"
"193592","occ","","","19732","Prodipodomys riversidensis","species","50764","Blancan","","4.9","1.8","939"
"193602","occ","","","19736","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","938"
"193603","occ","","","19736","Prodipodomys timoteoensis","species","50766","Blancan","","4.9","1.8","939"
"193604","occ","","","19736","Prodipodomys","genus","41689","Blancan","","4.9","1.8","938"
"193619","occ","","","19737","Dipodomys","genus","41678","Blancan","","4.9","1.8","939"
"193635","occ","","","19739","Prodipodomys","genus","41689","Blancan","","4.9","1.8","938"
"193636","occ","","","19739","Dipodomys","genus","41678","Blancan","","4.9","1.8","938"
"193642","occ","","","19740","Dipodomys","genus","41678","Blancan","","4.9","1.8","938"
"193643","occ","","","19740","Prodipodomys timoteoensis","species","50766","Blancan","","4.9","1.8","939"
"193644","occ","","","19740","Prodipodomys","genus","41689","Blancan","","4.9","1.8","938"
"193651","occ","","","19742","Prodipodomys","genus","41689","Blancan","","4.9","1.8","939"
"193656","occ","","","19744","Prodipodomys centralis","species","47711","Blancan","","4.9","1.8","1766"
"193931","occ","8628","","19815","Oregonomys magnus","species","50212","Blancan","","4.9","1.8","6294"
"193932","occ","","","19815","Perognathus maldei","species","50213","Blancan","","4.9","1.8","3787"
"194000","occ","","","19846","Perognathus maldei","species","50213","Blancan","","4.9","1.8","3787"
"194008","occ","","","19852","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","3787"
"194084","occ","","","19903","Perognathus maldei","species","50213","Blancan","","4.9","1.8","3787"
"194085","occ","","","19903","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","3787"
"194098","occ","","","19905","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","1885"
"194106","occ","","","19906","Perognathus maldei","species","50213","Blancan","","4.9","1.8","3787"
"194107","occ","","","19906","Prodipodomys idahoensis","species","50759","Blancan","","4.9","1.8","3787"
"194224","occ","","","19922","Perognathus mclaughlini","species","50214","Blancan","","4.9","1.8","1889"
"194225","occ","","","19922","Prodipodomys griggsorum","species","50757","Blancan","","4.9","1.8","3788"
"194226","occ","","","19922","Perognathus coquorum","species","50195","Blancan","","4.9","1.8","2126"
"194261","occ","","","19927","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1894"
"194262","occ","","","19927","Perognathus gidleyi","species","50204","Blancan","","4.9","1.8","1894"
"194263","occ","8759","","19927","Prodipodomys tiheni","species","46344","Blancan","","4.9","1.8","6294"
"194264","occ","","","19927","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","3791"
"194329","occ","","","19931","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1860"
"194330","occ","","","19931","Perognathus rexroadensis","species","50222","Blancan","","4.9","1.8","1860"
"194427","occ","","","19936","Perognathus gidleyi","species","50204","Blancan","","4.9","1.8","1894"
"194428","occ","8816","","19936","Prodipodomys centralis","species","47711","Blancan","","4.9","1.8","6294"
"194456","occ","","","19938","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1876"
"194457","occ","","","19938","Prodipodomys","genus","41689","Blancan","","4.9","1.8","1876"
"194474","occ","8829","","19940","Prodipodomys centralis","species","47711","Blancan","","4.9","1.8","6294"
"194514","occ","","","19942","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1460"
"194515","occ","","","19942","Prodipodomys","genus","41689","Blancan","","4.9","1.8","1460"
"194537","occ","","","19943","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1460"
"194568","occ","","","19945","Prodipodomys","genus","41689","Blancan","","4.9","1.8","1460"
"194755","occ","","","19965","Prodipodomys","genus","41689","Blancan","","4.9","1.8","2886"
"194941","occ","","","20017","Prodipodomys","genus","41689","Blancan","","4.9","1.8","2886"
"194942","occ","8943","","20017","Dipodomys gidleyi","species","45823","Blancan","","4.9","1.8","6294"
"194943","occ","","","20017","Oregonomys sargenti","species","50223","Blancan","","4.9","1.8","2886"
"194978","occ","","","20023","Perognathus rexroadensis","species","50222","Blancan","","4.9","1.8","1309"
"194979","occ","","","20023","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1309"
"194980","occ","","","20023","Prodipodomys centralis","species","47711","Blancan","","4.9","1.8","1309"
"195021","occ","","","20030","Perognathus rexroadensis","species","50222","Blancan","","4.9","1.8","1309"
"195022","occ","","","20030","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1309"
"195023","occ","","","20030","Prodipodomys centralis","species","47711","Blancan","","4.9","1.8","1309"
"195044","occ","","","20032","Perognathus rexroadensis","species","50222","Blancan","","4.9","1.8","1309"
"195045","occ","","","20032","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","1309"
"195168","occ","","","20053","Prodipodomys","genus","41689","Blancan","","4.9","1.8","928"
"195200","occ","","","20060","Perognathus carpenteri","species","50194","Blancan","","4.9","1.8","6330"
"195201","occ","","","20060","Perognathus rexroadensis","species","50222","Blancan","","4.9","1.8","6330"
"195202","occ","","","20060","Perognathus pearlettensis","species","50219","Blancan","","4.9","1.8","6330"
"195203","occ","","","20060","Prodipodomys centralis","species","47711","Blancan","","4.9","1.8","6330"
"195250","occ","","","20062","Prodipodomys","genus","41689","Blancan","","4.9","1.8","1327"
"195319","occ","","","20069","Prodipodomys","genus","41689","Blancan","","4.9","1.8","2249"
"195415","occ","","","20093","Dipodomys","genus","41678","Blancan","","4.9","1.8","1186"
"195424","occ","","","20095","Dipodomys","genus","41678","Blancan","","4.9","1.8","1186"
"195435","occ","","","20098","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195436","occ","","","20098","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","1186"
"195444","occ","","","20099","Dipodomys","genus","41678","Blancan","","4.9","1.8","1186"
"195457","occ","","","20102","Dipodomys","genus","41678","Blancan","","4.9","1.8","1186"
"195470","occ","","","20104","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195493","occ","","","20106","Dipodomys","genus","41678","Blancan","","4.9","1.8","1186"
"195494","occ","","","20106","Dipodomys","genus","41678","Blancan","","4.9","1.8","1186"
"195508","occ","","","20107","Dipodomys","genus","41678","Blancan","","4.9","1.8","1186"
"195509","occ","","","20107","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195515","occ","","","20108","Dipodomys","genus","41678","Blancan","","4.9","1.8","1186"
"195516","occ","","","20108","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195517","occ","","","20108","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","1186"
"195518","occ","9074","","20108","Dipodomys minor","species","45829","Blancan","","4.9","1.8","6294"
"195530","occ","","","20112","Dipodomys","genus","41678","Blancan","","4.9","1.8","1186"
"195531","occ","","","20112","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195532","occ","","","20112","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","1186"
"195533","occ","","","20112","Dipodomys","genus","41678","Blancan","","4.9","1.8","1186"
"195577","occ","","","20115","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195578","occ","","","20115","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","1186"
"195593","occ","","","20116","Dipodomys hibbardi","species","45824","Blancan","","4.9","1.8","1186"
"195628","occ","","","20118","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195677","occ","","","20120","Dipodomys","genus","41678","Blancan","","4.9","1.8","1186"
"195678","occ","","","20120","Dipodomys","genus","41678","Blancan","","4.9","1.8","1186"
"195735","occ","","","20122","Dipodomys compactus","species","45821","Blancan","","4.9","1.8","1186"
"195767","occ","","","20123","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","1186"
"195768","occ","","","20123","Dipodomys compactus","species","45821","Irvingtonian","","1.8","0.3","1186"
"195792","occ","","","20124","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","1186"
"195793","occ","","","20124","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","1186"
"195823","occ","","","20125","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","1186"
"195824","occ","","","20125","Dipodomys compactus","species","45821","Irvingtonian","","1.8","0.3","1186"
"195825","occ","","","20125","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","1186"
"195856","occ","","","20126","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","1186"
"195884","occ","","","20127","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","1186"
"195885","occ","","","20127","Dipodomys compactus","species","45821","Irvingtonian","","1.8","0.3","1186"
"196008","occ","9178","","20143","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"196009","occ","","","20143","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2419"
"196047","occ","","","20146","Dipodomys ordii","species","45830","Irvingtonian","Rancholabrean","1.8","0.012","2018"
"196120","occ","9203","","20157","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"196156","occ","","","20163","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","6202"
"196157","occ","","","20163","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6202"
"196181","occ","","","20164","Dipodomys pattersoni","species","45831","Irvingtonian","","1.8","0.3","1319"
"196201","occ","9216","","20165","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"196203","occ","","","20165","Dipodomys ordii","species","45830","Irvingtonian","","1.8","0.3","3081"
"196221","occ","9221","","20167","Chaetodipus hispidus","species","50207","Irvingtonian","","1.8","0.3","6294"
"196260","occ","","","20173","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2893"
"196276","occ","","","20176","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2893"
"196283","occ","","","20177","Prodipodomys","genus","41689","Irvingtonian","","1.8","0.3","2893"
"196284","occ","","","20177","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2893"
"196296","occ","","","20178","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2893"
"196308","occ","","","20180","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196314","occ","","","20181","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196323","occ","","","20184","Prodipodomys","genus","41689","Irvingtonian","","1.8","0.3","2725"
"196329","occ","","","20186","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196343","occ","","","20187","Prodipodomys","genus","41689","Irvingtonian","","1.8","0.3","2893"
"196344","occ","","","20187","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2893"
"196364","occ","","","20189","Prodipodomys","genus","41689","Irvingtonian","","1.8","0.3","2893"
"196365","occ","","","20189","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2893"
"196375","occ","","","20191","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196381","occ","","","20192","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196389","occ","","","20195","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2893"
"196405","occ","","","20200","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196421","occ","","","20205","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196434","occ","","","20206","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196448","occ","","","20207","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196459","occ","","","20209","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196465","occ","","","20210","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196472","occ","","","20211","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196479","occ","","","20212","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196490","occ","","","20214","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196498","occ","","","20216","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196512","occ","","","20220","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196517","occ","","","20223","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196530","occ","","","20230","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
"196534","occ","","","20232","Dipodomys","genus","41678","Irvingtonian","","1.8","0.3","2725"
