"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"183757","occ","","","17965","Proheteromys sulculus","species","50785","Hemingfordian","","20.43","15.97","3703"
"183758","occ","","","17965","Stratimus strobeli","species","51825","Hemingfordian","","20.43","15.97","2152"
"183836","occ","","","17979","Peridiomys rusticus","species","50165","Hemingfordian","","20.43","15.97","2132"
"183957","occ","","","18003","Stratimus strobeli","species","51825","Hemingfordian","","20.43","15.97","2152"
"183992","occ","5309","","18007","Harrymys magnus","species","50779","Hemingfordian","","20.43","15.97","6294"
"183993","occ","","","18007","Schizodontomys amnicolus","species","51447","Hemingfordian","","20.43","15.97","2152"
"183994","occ","","","18008","Schizodontomys amnicolus","species","51447","Hemingfordian","","20.43","15.97","2152"
"183996","occ","","","18009","Schizodontomys amnicolus","species","51447","Hemingfordian","","20.43","15.97","2152"
"183998","occ","","","18010","Schizodontomys harkseni","species","46719","Hemingfordian","","20.43","15.97","2636"
"184066","occ","","","18027","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"184067","occ","","","18027","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"184068","occ","5325","","18027","Mioheteromys amplissimus","species","48700","Barstovian","","15.97","13.6","2132"
"184071","occ","","","18027","Lignimus montis","species","47666","Barstovian","","15.97","13.6","3510"
"184103","occ","","","18031","Mioheteromys amplissimus","species","48700","Barstovian","","15.97","13.6","2132"
"184104","occ","","","18031","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"184105","occ","","","18031","Perognathus brevidens","species","50192","Barstovian","","15.97","13.6","3510"
"184106","occ","","","18031","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"184342","occ","5410","","18066","Perognathus minutus","species","50216","Late Clarendonian","","13.6","10.3","2133"
"184343","occ","5411","","18066","Cupidinimus prattensis","species","45397","Late Clarendonian","","13.6","10.3","6294"
"184344","occ","5412","","18066","Cupidinimus tertius","species","45856","Late Clarendonian","","13.6","10.3","2133"
"184434","occ","","","18076","Perognathus mclaughlini","species","50214","Late Hemphillian","","10.3","4.9","1874"
"184435","occ","","","18076","Prodipodomys","genus","41689","Late Hemphillian","","10.3","4.9","1874"
"184500","occ","5464","","18082","Diprionomys agrarius","species","45848","Clarendonian","","13.6","10.3","6294"
"184586","occ","","","18090","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"184587","occ","5486","","18090","Mioheteromys","genus","41684","Barstovian","","15.97","13.6","6294"
"184612","occ","5495","","18092","Mioheteromys","genus","41684","Clarendonian","","13.6","10.3","6294"
