Species	Status	min_age	max_age
Cupidinimus_nebraskensis	extinct	13.6	15.97
Mioheteromys_amplissimus	extinct	13.6	15.97
Peridiomys_borealis	extinct	13.6	15.97
Perognathus_trojectioansrum	extinct	13.6	15.97
Perognathus_brevidens	extinct	13.6	15.97
Cupidinimus_nebraskensis	extinct	13.6	15.97
Cupidinimus	extinct	13.6	15.97
Mioheteromys_amplissimus	extinct	13.6	15.97
Lignimus_montis	extinct	13.6	15.97
Lignimus	extinct	13.6	15.97
Heteromyidae	extinct	13.6	15.97
Cupidinimus_nebraskensis	extinct	5.333	23.03
Heteromyidae	extinct	10.3	13.6
Mioheteromys_amplissimus	extinct	10.3	13.6
Diprionomys_agrarius	extinct	10.3	13.6
Cupidinimus_prattensis	extinct	10.3	13.6
Lignimus	extinct	10.3	13.6
Cupidinimus_nebraskensis	extinct	13.6	15.97
Cupidinimus	extinct	13.6	15.97
Perognathus_trojectioansrum	extinct	10.3	13.6
Cupidinimus_nebraskensis	extinct	5.333	23.03
Mioheteromys	extinct	5.333	23.03
Cupidinimus	extinct	13.6	15.97
Heteromyinae	extinct	4.9	10.3
Mioheteromys	extinct	10.3	13.6
Cupidinimus_nebraskensis	extinct	13.6	15.97
Perognathus_trojectioansrum	extinct	13.6	15.97
Perognathus_brevidens	extinct	13.6	15.97
Cupidinimus_smaragdinus	extinct	13.6	15.97
Mioheteromys_arcarius	extinct	13.6	15.97
Lignimus_austridakotensis	extinct	13.6	15.97
Heteromyinae	extinct	4.9	13.6
Diprionomys_agrarius	extinct	10.3	13.6
Cupidinimus_nebraskensis	extinct	13.6	15.97
Perognathus_furlongi	extinct	13.6	15.97
Perognathus_trojectioansrum	extinct	13.6	15.97
Cupidinimus_nebraskensis	extinct	13.6	15.97
Heteromyidae	extinct	13.6	15.97
Heteromyinae	extinct	10.3	13.6
Cupidinimus_prattensis	extinct	10.3	13.6
Perognathus_trojectioansrum	extinct	13.6	15.97
Cupidinimus_nebraskensis	extinct	13.6	15.97
Cupidinimus_nebraskensis	extinct	13.6	15.97
Perognathus_coquorum	extinct	4.9	10.3
Heteromyidae	extinct	5.333	23.03
Proheteromys_floridanus	extinct	15.97	20.43
Perognathus_minutus	extinct	13.6	15.97
Perognathus_minutus	extinct	13.6	15.97
Harrymys_magnus	extinct	15.97	20.43
Proheteromys_floridanus	extinct	15.97	20.43
Harrymys_magnus	extinct	15.97	20.43
Proheteromys_floridanus	extinct	15.97	20.43
Harrymys_magnus	extinct	15.97	20.43
Proheteromys_floridanus	extinct	15.97	20.43
Heteromyidae	extinct	13.6	15.97
Proheteromys_sabinensis	extinct	20.44	23.03
Proheteromys_toledoensis	extinct	20.44	23.03
