"Cupidinimus,"Cupidinimus nebraskensis",14.1815,14.785
"Dipodomys,"Dipodomys cf. deserti",1.05,1.05
"Proheteromys,"Proheteromys n. sp. floridanus",18.2,18.2
"Prodipodomys,"Prodipodomys ? minor",3.35,3.35
"Perognathus,"Perognathus cf. brevidens",14.785,14.785
"Pliosaccomys,"Pliosaccomys cf. magnus",7.6000000000000005,7.6000000000000005
"Perognathus,"Perognathus n. sp. ancenensis",14.785,14.785
"Proheteromys,"Proheteromys ironcloudi",25.55,28.55
"Proheteromys,"Proheteromys floridanus",18.2,22.615000000000002
"Proheteromys,"Proheteromys n. sp. toledoensis",21.735,21.735
"Harrymys,"Harrymys magnus",18.2,18.2
"Cupidinimus,"Cupidinimus cf. lindsayi",18.2,18.2
"Perognathus,"Perognathus n. sp. strigipredus",3.35,3.35
"Oregonomys,"Oregonomys cf. sargenti",3.35,3.35
"Schizodontomys,"Schizodontomys harkseni",18.2,25.55
"Stratimus,"Stratimus strobeli",18.2,18.2
"Cupidinimus,"Cupidinimus halli",14.1815,14.785
"Cupidinimus,"Cupidinimus cf. kleinfelderi",14.785,14.785
"Proheteromys,"Proheteromys cf. formicarum",14.785,14.785
"Cupidinimus,"Cupidinimus madisonensis",14.785,14.785
"Balantiomys,"Balantiomys cf. oregonensis",14.785,14.785
"Harrymys,"Harrymys woodi",18.2,18.2
"Heliscomys,"Heliscomys subtilis",14.785,14.785
"Proheteromys,"Proheteromys sulculus",14.1815,18.2
"Oregonomys,"Oregonomys n. sp. pebblespringsensis",7.6000000000000005,7.6000000000000005
"Harrymys,"Harrymys irvini",18.2,18.2
"Prodipodomys,"Prodipodomys n. sp. idahoensis",3.35,3.35
"Mioheteromys,"Mioheteromys arcarius",14.785,14.785
"Perognathus,"Perognathus n. sp. mclaughlini",3.35,3.35
"Perognathoides,"Perognathoides n. sp. madisonensis",14.785,14.785
"Prodipodomys,"Prodipodomys kansensis",7.6000000000000005,7.6000000000000005
"Prodipodomys,"Prodipodomys cf. coquorum",3.35,11.95
"Prodipodomys,"Prodipodomys riversidensis",3.35,3.35
"Oregonomys,"Oregonomys sargenti",7.6000000000000005,7.6000000000000005
"Dipodomys,"Dipodomys cf. spectabilis",0.06885,0.06885
"Proheteromys,"Proheteromys n. sp. matthewi",22.615000000000002,22.615000000000002
"n.,"n. gen. Metaliomys n. sp. sevierensis",7.6000000000000005,7.6000000000000005
"Dipodomys,"Dipodomys cf. ordii",0.06885,1.05
"Dipodomys,"Dipodomys compactus",1.05,3.35
"Diprionomys,"Diprionomys cf. parvus",7.6000000000000005,14.785
"Mioheteromys,"Mioheteromys cf. amplissimus",11.95,11.95
"Cupidinimus,"Cupidinimus saskatchewanensis",14.785,14.785
"Mioheteromys,"Mioheteromys amplissimus",14.785,14.785
"Prodipodomys,"Prodipodomys minor",3.35,3.35
"Dipodomys,"Dipodomys spectabilis",0.00585,0.06885
