"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"183485","occ","","","17912","Schizodontomys harkseni","species","51449","","Schizodontomys harkseni","species","46719","Hemingfordian","","20.43","15.97","2408"
"183516","occ","","","17913","Dikkomys matthewi","species","45737","","Dikkomys matthewi","species","45737","Hemingfordian","","20.43","15.97","2408"
"183517","occ","","","17913","Schizodontomys harkseni","species","51449","","Schizodontomys harkseni","species","46719","Hemingfordian","","20.43","15.97","2408"
"183530","occ","","","17914","Schizodontomys harkseni","species","51449","","Schizodontomys harkseni","species","46719","Hemingfordian","","20.43","15.97","2408"
"183586","occ","","","17924","Schizodontomys amnicolus","species","51447","","Schizodontomys amnicolus","species","51447","Hemingfordian","","20.43","15.97","2132"
"183604","occ","","","17925","Schizodontomys greeni","species","51448","","Schizodontomys greeni","species","51448","Hemingfordian","","20.43","15.97","1547"
"183757","occ","","","17965","Proheteromys sulculus","species","50785","","Proheteromys sulculus","species","50785","Hemingfordian","","20.43","15.97","3703"
"183758","occ","","","17965","Stratimus strobeli","species","51825","","Stratimus strobeli","species","51825","Hemingfordian","","20.43","15.97","2152"
"183836","occ","","","17979","Peridiomys rusticus","species","50165","","Peridiomys rusticus","species","50165","Hemingfordian","","20.43","15.97","2132"
"183957","occ","","","18003","Stratimus strobeli","species","51825","","Stratimus strobeli","species","51825","Hemingfordian","","20.43","15.97","2152"
"183992","occ","5309","","18007","Harrymys cf. magnus","species","46813","","Harrymys magnus","species","50779","Hemingfordian","","20.43","15.97","6294"
"183993","occ","","","18007","Schizodontomys amnicolus","species","51447","","Schizodontomys amnicolus","species","51447","Hemingfordian","","20.43","15.97","2152"
"183994","occ","","","18008","Schizodontomys amnicolus","species","51447","","Schizodontomys amnicolus","species","51447","Hemingfordian","","20.43","15.97","2152"
"183996","occ","","","18009","Schizodontomys amnicolus","species","51447","","Schizodontomys amnicolus","species","51447","Hemingfordian","","20.43","15.97","2152"
"183998","occ","","","18010","Schizodontomys harkseni","species","51449","","Schizodontomys harkseni","species","46719","Hemingfordian","","20.43","15.97","2636"
"184066","occ","","","18027","Perognathus trojectioansrum","species","50228","","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"184067","occ","","","18027","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"184068","occ","5325","","18027","Mioheteromys amplissimus","species","48700","","Mioheteromys amplissimus","species","48700","Barstovian","","15.97","13.6","2132"
"184071","occ","","","18027","Lignimus cf. montis","species","47666","","Lignimus montis","species","47666","Barstovian","","15.97","13.6","3510"
"184103","occ","","","18031","Mioheteromys amplissimus","species","48700","","Mioheteromys amplissimus","species","48700","Barstovian","","15.97","13.6","2132"
"184104","occ","","","18031","Perognathus trojectioansrum","species","50228","","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"184105","occ","","","18031","Perognathus brevidens","species","50192","","Perognathus brevidens","species","50192","Barstovian","","15.97","13.6","3510"
"184106","occ","","","18031","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"184342","occ","5410","","18066","Perognathus cf. minutus","species","50216","","Perognathus minutus","species","50216","Late Clarendonian","","13.6","10.3","2133"
"184343","occ","5411","","18066","Cupidinimus prattensis","species","45397","","Cupidinimus prattensis","species","45397","Late Clarendonian","","13.6","10.3","6294"
"184344","occ","5412","","18066","Cupidinimus cf. tertius","species","45401","","Cupidinimus tertius","species","45856","Late Clarendonian","","13.6","10.3","2133"
"184434","occ","","","18076","Perognathus cf. mclaughlini","species","50214","","Perognathus mclaughlini","species","50214","Late Hemphillian","","10.3","4.9","1874"
"184500","occ","5464","","18082","Mioheteromys agrarius","species","48699","recombined as","Diprionomys agrarius","species","45848","Clarendonian","","13.6","10.3","6294"
"184586","occ","","","18090","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"184645","occ","","","18095","Mioheteromys n. sp. agrarius","species","48699","recombined as","Diprionomys agrarius","species","45848","Clarendonian","","13.6","10.3","2132"
"184736","occ","","","18102","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","781"
"184847","occ","","","18121","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"185013","occ","","","18140","Perognathus n. sp. dunklei","species","50197","","Perognathus dunklei","species","50197","Hemphillian","","10.3","4.9","1842"
"185014","occ","5610","","18140","Prodipodomys kansensis","species","50760","","Prodipodomys kansensis","species","45826","Hemphillian","","10.3","4.9","1839"
"185043","occ","","","18141","Perognathus trojectioansrum","species","50228","","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3503"
"185044","occ","5622","","18141","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"185046","occ","","","18141","Lignimus cf. montis","species","47666","","Lignimus montis","species","47666","Barstovian","","15.97","13.6","3503"
"185130","occ","","","18159","Mioheteromys agrarius","species","48699","recombined as","Diprionomys agrarius","species","45848","Clarendonian","","13.6","10.3","2132"
"185173","occ","","","18164","Perognathus trojectioansrum","species","50228","","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"185174","occ","","","18164","Perognathus brevidens","species","50192","","Perognathus brevidens","species","50192","Barstovian","","15.97","13.6","3510"
"185175","occ","","","18164","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"185211","occ","5671","","18165","Mookomys altifluminis","species","48808","","Mookomys altifluminis","species","48808","Barstovian","","15.97","13.6","6294"
"185212","occ","","","18165","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","7564"
"185367","occ","","","18192","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"185509","occ","","","18206","Perognathus trojectioansrum","species","50228","","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"185510","occ","","","18206","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"185552","occ","","","18208","Perognathus trojectioansrum","species","50228","","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","781"
"185553","occ","5771","","18208","Perognathus cf. brevidens","species","50192","","Perognathus brevidens","species","50192","Barstovian","","15.97","13.6","6294"
"185554","occ","","","18208","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","781"
"185555","occ","","","18208","Peridiomys rusticus","species","50165","","Peridiomys rusticus","species","50165","Barstovian","","15.97","13.6","781"
"185587","occ","","","18209","Perognathus trojectioansrum","species","50228","","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"185588","occ","","","18209","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"185907","occ","5865","","18240","Perognathus cf. brevidens","species","50192","","Perognathus brevidens","species","50192","Barstovian","","15.97","13.6","6294"
"185908","occ","","","18240","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"185910","occ","","","18240","cf. Lignimus montis","species","47666","","Lignimus montis","species","47666","Barstovian","","15.97","13.6","3510"
"186058","occ","","","18259","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Miocene","","23.03","5.333","3510"
"186085","occ","","","18261","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"186086","occ","","","18261","Lignimus cf. montis","species","47666","","Lignimus montis","species","47666","Barstovian","","15.97","13.6","3510"
"186140","occ","5913","","18268","Prodipodomys cf. coquorum","species","50755","recombined as","Perognathus coquorum","species","50195","Clarendonian","","13.6","10.3","6294"
"186199","occ","","","18275","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"186247","occ","","","18281","Mioheteromys n. sp. amplissimus","species","48700","","Mioheteromys amplissimus","species","48700","Barstovian","","15.97","13.6","2132"
"186248","occ","","","18281","Balantiomys borealis","species","44423","recombined as","Peridiomys borealis","species","50160","Barstovian","","15.97","13.6","2132"
"186288","occ","10110","","18284","Perognathus trojectioansrum","species","50228","","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"186289","occ","5961","","18284","Perognathus brevidens","species","50192","","Perognathus brevidens","species","50192","Barstovian","","15.97","13.6","2108"
"186290","occ","","","18284","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","7564"
"186292","occ","5963","","18284","Mioheteromys amplissimus","species","48700","","Mioheteromys amplissimus","species","48700","Barstovian","","15.97","13.6","2132"
"186295","occ","","","18284","Lignimus cf. montis","species","47666","","Lignimus montis","species","47666","Barstovian","","15.97","13.6","3510"
"186500","occ","","","18313","cf. Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Miocene","","23.03","5.333","3510"
"186609","occ","","","18324","Mioheteromys cf. amplissimus","species","48700","","Mioheteromys amplissimus","species","48700","Clarendonian","","13.6","10.3","2133"
"186657","occ","","","18327","Mioheteromys cf. agrarius","species","48699","recombined as","Diprionomys agrarius","species","45848","Late Clarendonian","","13.6","10.3","2136"
"186658","occ","","","18327","Cupidinimus n. sp. prattensis","species","45397","","Cupidinimus prattensis","species","45397","Late Clarendonian","","13.6","10.3","2136"
"186688","occ","","","18332","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"186764","occ","","","18344","Perognathus cf. trojectioansrum","species","50228","","Perognathus trojectioansrum","species","50228","Clarendonian","","13.6","10.3","3356"
"186795","occ","","","18350","cf. Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Miocene","","23.03","5.333","3510"
"186957","occ","","","18376","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"187034","occ","","","18397","Perognathus trojectioansrum","species","50228","","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","2129"
"187035","occ","","","18397","Perognathus brevidens","species","50192","","Perognathus brevidens","species","50192","Barstovian","","15.97","13.6","2129"
"187036","occ","","","18397","Cupidinimus n. sp. smaragdinus","species","45400","","Cupidinimus smaragdinus","species","45400","Barstovian","","15.97","13.6","2129"
"187037","occ","6172","","18397","Mioheteromys arcarius","species","48701","","Mioheteromys arcarius","species","45849","Barstovian","","15.97","13.6","2129"
"187038","occ","","","18397","Lignimus n. sp. austridakotensis","species","47664","","Lignimus austridakotensis","species","47664","Barstovian","","15.97","13.6","2129"
"187176","occ","","","18434","Mioheteromys agrarius","species","48699","recombined as","Diprionomys agrarius","species","45848","Clarendonian","","13.6","10.3","2132"
"187177","occ","","","18435","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","1018"
"187218","occ","","","18442","Perognathus cf. furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","1467"
"187219","occ","","","18442","Perognathus trojectioansrum","species","50228","","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"187220","occ","","","18442","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","7564"
"187370","occ","6278","","18452","Cupidinimus prattensis","species","45397","","Cupidinimus prattensis","species","45397","Clarendonian","","13.6","10.3","6294"
"187380","occ","","","18454","Perognathus trojectioansrum","species","50228","","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","3510"
"187381","occ","","","18454","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"187605","occ","","","18498","Cupidinimus nebraskensis","species","45396","","Cupidinimus nebraskensis","species","45396","Barstovian","","15.97","13.6","3510"
"187610","occ","6368","","18499","Prodipodomys coquorum","species","50755","recombined as","Perognathus coquorum","species","50195","Hemphillian","","10.3","4.9","6294"
"187690","occ","","","18512","Proheteromys floridanus","species","50773","","Proheteromys floridanus","species","50773","Late Hemingfordian","","20.43","15.97","2614"
"187790","occ","","","18538","Perognathus cf. minutus","species","50216","","Perognathus minutus","species","50216","Early Barstovian","","15.97","13.6","1145"
"187833","occ","","","18549","Perognathus cf. minutus","species","50216","","Perognathus minutus","species","50216","Early Barstovian","","15.97","13.6","1145"
"187960","occ","6505","","18561","Harrymys magnus","species","46813","","Harrymys magnus","species","50779","Hemingfordian","","20.43","15.97","6294"
"187961","occ","","","18561","Proheteromys n. sp. floridanus","species","50773","","Proheteromys floridanus","species","50773","Hemingfordian","","20.43","15.97","3135"
"188088","occ","6546","","18579","Harrymys magnus","species","46813","","Harrymys magnus","species","50779","Early Hemingfordian","","20.43","15.97","6294"
"188138","occ","","","18586","Proheteromys floridanus","species","50773","","Proheteromys floridanus","species","50773","Hemingfordian","","20.43","15.97","2692"
"188176","occ","6577","","18597","Harrymys magnus","species","46813","","Harrymys magnus","species","50779","Hemingfordian","","20.43","15.97","6294"
"188177","occ","","","18597","Proheteromys floridanus","species","50773","","Proheteromys floridanus","species","50773","Hemingfordian","","20.43","15.97","2690"
"188585","occ","","","18663","Proheteromys n. sp. sabinensis","species","50784","","Proheteromys sabinensis","species","50784","Aquitanian","","23.03","20.44","934"
"188586","occ","","","18663","Proheteromys n. sp. toledoensis","species","50787","","Proheteromys toledoensis","species","50787","Aquitanian","","23.03","20.44","934"
"188918","occ","","","18755","Prodipodomys idahoensis","species","50759","","Prodipodomys idahoensis","species","50759","Late Hemphillian","","10.3","4.9","2245"
"188994","occ","","","18759","Harrymys n. sp. canadensis","species","46811","","Harrymys canadensis","species","46811","Barstovian","","15.97","13.6","2125"
"188995","occ","6872","","18759","Perognathus trojectioansrum","species","50228","","Perognathus trojectioansrum","species","50228","Barstovian","","15.97","13.6","6294"
"188996","occ","6873","","18759","Cupidinimus saskatchewanensis","species","45399","recombined as","Perognathus saskatchewanensis","species","50224","Barstovian","","15.97","13.6","6294"
"188997","occ","6874","","18759","Cupidinimus kleinfelderi","species","45391","recombined as","Perognathoides kleinfelderi","species","50182","Barstovian","","15.97","13.6","6294"
"188998","occ","6875","","18759","Balantiomys borealis","species","44423","recombined as","Peridiomys borealis","species","50160","Barstovian","","15.97","13.6","6294"
"188999","occ","6876","","18759","Mioheteromys arcarius","species","48701","","Mioheteromys arcarius","species","45849","Barstovian","","15.97","13.6","6294"
"189000","occ","","","18759","Lignimus montis","species","47666","","Lignimus montis","species","47666","Barstovian","","15.97","13.6","3295"
"189195","occ","","","18803","Mookomys n. sp. thrinax","species","48813","","Mookomys thrinax","species","48813","Early Barstovian","","15.97","13.6","3342"
"189196","occ","6974","","18803","Proheteromys cf. formicarum","species","50774","recombined as","Mookomys formicarum","species","48810","Early Barstovian","","15.97","13.6","6294"
"189198","occ","","","18803","Peridiomys n. sp. halis","species","50161","","Peridiomys halis","species","50161","Early Barstovian","","15.97","13.6","3342"
"189199","occ","","","18803","Perognathus n. sp. ancenensis","species","50186","","Perognathus ancenensis","species","50186","Early Barstovian","","15.97","13.6","3342"
"189201","occ","","","18803","Cupidinimus madisonensis","species","45393","subjective synonym of","Cupidinimus halli","species","50181","Early Barstovian","","15.97","13.6","3342"
"189202","occ","","","18803","Cupidinimus cf. eurekensis","species","45389","recombined as","Perognathoides eurekensis","species","50180","Early Barstovian","","15.97","13.6","3342"
"189255","occ","","","18807","Diprionomys cf. parvus","species","45853","","Diprionomys parvus","species","45853","Hemphillian","","10.3","4.9","3118"
"189256","occ","","","18807","Pliosaccomys magnus","species","50606","recombined as","Cupidinimus magnus","species","45850","Hemphillian","","10.3","4.9","3118"
"189439","occ","","","18845","Perognathus cf. minutus","species","50216","","Perognathus minutus","species","50216","Clarendonian","","13.6","10.3","1489"
"189440","occ","7071","","18845","Cupidinimus quartus","species","45398","recombined as","Perognathoides quartus","species","45854","Clarendonian","","13.6","10.3","6294"
"189441","occ","7072","","18845","Cupidinimus cuyamensis","species","45388","","Cupidinimus cuyamensis","species","50179","Clarendonian","","13.6","10.3","6294"
"189559","occ","","","18868","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","1019"
"189560","occ","7107","","18868","Cupidinimus whitlocki","species","45402","","Cupidinimus whitlocki","species","45402","Barstovian","","15.97","13.6","1018"
"189562","occ","7109","","18868","Mioheteromys amplissimus","species","48700","","Mioheteromys amplissimus","species","48700","Barstovian","","15.97","13.6","2132"
"189625","occ","","","18888","Diprionomys cf. parvus","species","45853","","Diprionomys parvus","species","45853","Clarendonian","","13.6","10.3","1236"
"189626","occ","7138","","18888","Cupidinimus quartus","species","45398","recombined as","Perognathoides quartus","species","45854","Clarendonian","","13.6","10.3","6294"
"189627","occ","7139","","18888","Cupidinimus tertius","species","45401","","Cupidinimus tertius","species","45856","Clarendonian","","13.6","10.3","6294"
"189832","occ","","","18936","Diprionomys parvus","species","45853","","Diprionomys parvus","species","45853","Hemphillian","","10.3","4.9","3118"
"189850","occ","","","18939","Perognathus stevei","species","50226","","Perognathus stevei","species","50226","Hemphillian","","10.3","4.9","2411"
"189851","occ","","","18939","Oregonomys n. sp. pebblespringsensis","species","49377","","Oregonomys pebblespringsensis","species","49377","Hemphillian","","10.3","4.9","2411"
"189860","occ","","","18940","Perognathus stevei","species","50226","","Perognathus stevei","species","50226","Hemphillian","","10.3","4.9","2411"
"189861","occ","","","18940","Oregonomys pebblespringsensis","species","49377","","Oregonomys pebblespringsensis","species","49377","Hemphillian","","10.3","4.9","2411"
"189893","occ","","","18944","Diprionomys parvus","species","45853","","Diprionomys parvus","species","45853","Hemphillian","","10.3","4.9","3118"
"189894","occ","","","18944","Pliosaccomys cf. magnus","species","50606","recombined as","Cupidinimus magnus","species","45850","Hemphillian","","10.3","4.9","3118"
"190018","occ","7280","","18970","Oregonomys sargenti","species","49378","","Oregonomys sargenti","species","50223","Hemphillian","","10.3","4.9","6294"
"190112","occ","","","18990","Perognathus furlongi","species","50203","","Perognathus furlongi","species","50203","Barstovian","","15.97","13.6","1019"
"190113","occ","7313","","18990","Cupidinimus whitlocki","species","45402","","Cupidinimus whitlocki","species","45402","Barstovian","","15.97","13.6","1018"
"190115","occ","7315","","18990","Mioheteromys amplissimus","species","48700","","Mioheteromys amplissimus","species","48700","Barstovian","","15.97","13.6","2132"
"190193","occ","7344","","19011","Balantiomys oregonensis","species","44426","recombined as","Peridiomys oregonensis","species","45852","Barstovian","","15.97","13.6","6294"
"190277","occ","7381","","19017","Balantiomys oregonensis","species","44426","recombined as","Peridiomys oregonensis","species","45852","Barstovian","","15.97","13.6","6294"
"190453","occ","7448","","19056","Balantiomys oregonensis","species","44426","recombined as","Peridiomys oregonensis","species","45852","Barstovian","","15.97","13.6","6294"
"190516","occ","","","19073","Schizodontomys harkseni","species","51449","","Schizodontomys harkseni","species","46719","Hemingfordian","","20.43","15.97","2634"
"190517","occ","","","19073","Harrymys irvini","species","46812","","Harrymys irvini","species","46812","Hemingfordian","","20.43","15.97","2634"
"190553","occ","","","19074","Schizodontomys harkseni","species","51449","","Schizodontomys harkseni","species","46719","Hemingfordian","","20.43","15.97","2634"
"190554","occ","","","19074","Harrymys irvini","species","46812","","Harrymys irvini","species","46812","Hemingfordian","","20.43","15.97","2634"
"190583","occ","","","19075","Schizodontomys harkseni","species","51449","","Schizodontomys harkseni","species","46719","Hemingfordian","","20.43","15.97","2634"
"190584","occ","","","19075","Harrymys irvini","species","46812","","Harrymys irvini","species","46812","Hemingfordian","","20.43","15.97","2634"
"190585","occ","","","19075","Harrymys woodi","species","46814","","Harrymys woodi","species","45738","Hemingfordian","","20.43","15.97","2634"
"190613","occ","","","19076","Harrymys irvini","species","46812","","Harrymys irvini","species","46812","Hemingfordian","","20.43","15.97","2634"
"190614","occ","","","19076","Harrymys woodi","species","46814","","Harrymys woodi","species","45738","Hemingfordian","","20.43","15.97","2634"
"190655","occ","","","19079","Harrymys irvini","species","46812","","Harrymys irvini","species","46812","Hemingfordian","","20.43","15.97","2634"
"190699","occ","","","19085","Oregonomys cf. pebblespringsensis","species","49377","","Oregonomys pebblespringsensis","species","49377","Hemphillian","","10.3","4.9","1052"
"190787","occ","","","19095","Diprionomys n. sp. parvus","species","45853","","Diprionomys parvus","species","45853","Hemphillian","","10.3","4.9","3234"
"190788","occ","7572","","19095","Pliosaccomys magnus","species","50606","recombined as","Cupidinimus magnus","species","45850","Hemphillian","","10.3","4.9","6294"
